Title,Artist,Genre,Key,Difficulty,Year
The Gambler,Kenny Rogers,Country,C,Beginner,1978
Friends in Low Places,Garth Brooks,Country,A,Beginner,1990
On the Road Again,Willie Nelson,Country,E,Beginner,1980
Take Five,Dave Brubeck,Jazz,Ebm,Advanced,1959
So What,Miles Davis,Jazz,Dm,Advanced,1959
Autumn Leaves,Cannonball Adderley,Jazz,Gm,Intermediate,1958
Fly Me to the Moon,Frank Sinatra,Jazz,C,Intermediate,1964
What a Wonderful World,Louis Armstrong,Jazz,F,Beginner,1967
Georgia on My Mind,Ray Charles,Jazz,F,Intermediate,1960
Respect,Aretha Franklin,R&B,C,Intermediate,1967
Superstition,Stevie Wonder,R&B,Ebm,Intermediate,1972
I Heard It Through the Grapevine,Marvin Gaye,R&B,Ebm,Intermediate,1968
Aint No Sunshine,Bill Withers,R&B,Am,Beginner,1971
Lets Stay Together,Al Green,R&B,Fm,Intermediate,1971
My Girl,The Temptations,R&B,C,Beginner,1964
Every Breath You Take,The Police,Pop,A,Beginner,1983
Africa,Toto,Pop,B,Intermediate,1982
September,Earth Wind and Fire,R&B,A,Intermediate,1978
Shape of You,Ed Sheeran,Pop,C#m,Beginner,2017
Rolling in the Deep,Adele,Pop,Cm,Intermediate,2010
Blinding Lights,The Weeknd,Pop,Fm,Intermediate,2019
Seven Nation Army,The White Stripes,Indie,Em,Beginner,2003
Mr Brightside,The Killers,Indie,D,Intermediate,2003
Use Somebody,Kings of Leon,Indie,C,Intermediate,2008
Clocks,Coldplay,Indie,Eb,Intermediate,2002
Yellow,Coldplay,Indie,B,Beginner,2000
The Scientist,Coldplay,Indie,F,Beginner,2002
Boulevard of Broken Dreams,Green Day,Indie,Fm,Intermediate,2004
American Idiot,Green Day,Indie,Ab,Intermediate,2004
Eye of the Tiger,Survivor,Hard Rock,Cm,Intermediate,1982
Carry On Wayward Son,Kansas,Classic Rock,Am,Advanced,1976
More Than a Feeling,Boston,Classic Rock,D,Advanced,1976
Sweet Home Alabama,Lynyrd Skynyrd,Classic Rock,G,Beginner,1974
Sultans of Swing,Dire Straits,Classic Rock,Dm,Advanced,1978
Money for Nothing,Dire Straits,Classic Rock,Gm,Advanced,1985
Free Fallin,Tom Petty,Classic Rock,F,Beginner,1989
Brown Eyed Girl,Van Morrison,Classic Rock,G,Beginner,1967
Dont Stop Believin,Journey,Classic Rock,E,Intermediate,1981
Black Dog,Led Zeppelin,Classic Rock,A,Advanced,1971
Whole Lotta Love,Led Zeppelin,Classic Rock,E,Advanced,1969
Comfortably Numb,Pink Floyd,Classic Rock,Bm,Advanced,1979
Wish You Were Here,Pink Floyd,Classic Rock,G,Beginner,1975
Another Brick in the Wall Part 2,Pink Floyd,Classic Rock,Dm,Intermediate,1979
Paint It Black,The Rolling Stones,Classic Rock,Em,Intermediate,1966
Gimme Shelter,The Rolling Stones,Classic Rock,C#m,Intermediate,1969
Sympathy for the Devil,The Rolling Stones,Classic Rock,E,Intermediate,1968
Space Oddity,David Bowie,Classic Rock,C,Intermediate,1969
Heroes,David Bowie,Pop,D,Intermediate,1977
Rhiannon,Fleetwood Mac,Classic Rock,Am,Intermediate,1975
The Chain,Fleetwood Mac,Classic Rock,Em,Advanced,1977
No Woman No Cry,Bob Marley,Pop,C,Beginner,1974
Three Little Birds,Bob Marley,Pop,A,Beginner,1977
Hallelujah,Jeff Buckley,Indie,C,Intermediate,1994
Ho Hey,The Lumineers,Indie,C,Beginner,2012
Let Her Go,Passenger,Indie,G,Beginner,2012
Bad Moon Rising,Creedence Clearwater Revival,Classic Rock,D,Beginner,1969
Fortunate Son,Creedence Clearwater Revival,Classic Rock,G,Intermediate,1969
Born to Run,Bruce Springsteen,Classic Rock,E,Intermediate,1975
The Boys Are Back in Town,Thin Lizzy,Hard Rock,A,Advanced,1976
Sharp Dressed Man,ZZ Top,Hard Rock,C,Intermediate,1983
La Grange,ZZ Top,Hard Rock,Am,Advanced,1973
Message in a Bottle,The Police,Pop,C#m,Advanced,1979
Roxanne,The Police,Pop,Gm,Intermediate,1978
Under Pressure,Queen,Classic Rock,D,Intermediate,1981
We Will Rock You,Queen,Classic Rock,Em,Beginner,1977
We Are the Champions,Queen,Classic Rock,Cm,Intermediate,1977
Time,Pink Floyd,Classic Rock,F#m,Advanced,1973
Money,Pink Floyd,Classic Rock,Bm,Advanced,1973
The Final Countdown,Europe,Hard Rock,F#m,Intermediate,1986
Livin on a Prayer,Bon Jovi,Hard Rock,Em,Intermediate,1986
Wanted Dead or Alive,Bon Jovi,Hard Rock,Dm,Intermediate,1986
Knockin on Heavens Door,Bob Dylan,Classic Rock,G,Beginner,1973
Layla,Eric Clapton,Classic Rock,Dm,Advanced,1970
Tears in Heaven,Eric Clapton,Classic Rock,A,Intermediate,1992
Wonderful Tonight,Eric Clapton,Classic Rock,G,Beginner,1977
Hotel Yorba,The White Stripes,Indie,E,Beginner,2001
Sex on Fire,Kings of Leon,Indie,E,Intermediate,2008
Radioactive,Imagine Dragons,Indie,Bm,Beginner,2012
Counting Stars,OneRepublic,Pop,C#m,Beginner,2013
Viva La Vida,Coldplay,Pop,Ab,Beginner,2008
Skyfall,Adele,Pop,Cm,Intermediate,2012
Stayin Alive,Bee Gees,Pop,Fm,Intermediate,1977
I Want It That Way,Backstreet Boys,Pop,F#m,Beginner,1999
Man in the Mirror,Michael Jackson,Pop,G,Intermediate,1988
Hysteria,Muse,Indie,Am,Advanced,2003
Plug In Baby,Muse,Indie,Em,Advanced,2001
Take It Easy,Eagles,Classic Rock,G,Beginner,1972
Desperado,Eagles,Classic Rock,G,Intermediate,1973
The Joker,Steve Miller Band,Classic Rock,G,Beginner,1973
Long Train Runnin,The Doobie Brothers,Classic Rock,Gm,Intermediate,1973
China Grove,The Doobie Brothers,Classic Rock,G,Intermediate,1973
Barracuda,Heart,Hard Rock,Em,Advanced,1977
Crazy Little Thing Called Love,Queen,Classic Rock,D,Beginner,1979
Owner of a Lonely Heart,Yes,Classic Rock,Am,Intermediate,1983
Roundabout,Yes,Classic Rock,Em,Advanced,1971
Smoke on the Water,Deep Purple,Hard Rock,Gm,Beginner,1972
Highway Star,Deep Purple,Hard Rock,Gm,Advanced,1972
The Sound of Silence,Simon and Garfunkel,Pop,Em,Beginner,1964
Mrs Robinson,Simon and Garfunkel,Pop,E,Beginner,1968
Bridge Over Troubled Water,Simon and Garfunkel,Pop,Eb,Intermediate,1970
Good Riddance Time of Your Life,Green Day,Indie,G,Beginner,1997
Zombie,The Cranberries,Indie,Em,Intermediate,1994
Losing My Religion,REM,Indie,Dm,Intermediate,1991
Drive,Incubus,Indie,E,Beginner,2000
All the Small Things,Blink 182,Pop,C,Beginner,1999
Iris,Goo Goo Dolls,Pop,B,Intermediate,1998
Yesterday,The Beatles,Classic Rock,F,Beginner,1965
Shallow,Lady Gaga,Pop,G,Intermediate,2018
Someone Like You,Adele,Pop,A,Beginner,2011
Thinking Out Loud,Ed Sheeran,Pop,D,Beginner,2014
Perfect,Ed Sheeran,Pop,Ab,Beginner,2017
Stay With Me,Sam Smith,Pop,C,Beginner,2014
Chandelier,Sia,Pop,Am,Intermediate,2014
Uptown Funk,Bruno Mars,R&B,Dm,Intermediate,2014
Just the Way You Are,Bruno Mars,Pop,F,Beginner,2010
Locked Out of Heaven,Bruno Mars,Pop,Bm,Intermediate,2012
Happy,Pharrell Williams,Pop,F,Beginner,2013
Get Lucky,Daft Punk,Pop,F#m,Intermediate,2013
Pompeii,Bastille,Indie,Eb,Beginner,2013
Little Talks,Of Monsters and Men,Indie,F,Beginner,2011
Take Me to Church,Hozier,Indie,Am,Intermediate,2013
Budapest,George Ezra,Pop,C,Beginner,2014
Riptide,Vance Joy,Indie,C,Beginner,2013
Human,The Killers,Indie,A,Beginner,2008
Somebody That I Used to Know,Gotye,Indie,Dm,Intermediate,2011
Demons,Imagine Dragons,Indie,C,Beginner,2013
Thunder,Imagine Dragons,Indie,F#m,Beginner,2017
Believer,Imagine Dragons,Indie,Cm,Intermediate,2017
Stressed Out,Twenty One Pilots,Indie,D,Beginner,2015
Heathens,Twenty One Pilots,Indie,Fm,Intermediate,2016
Time After Time,Cyndi Lauper,Pop,C,Beginner,1984
Girls Just Want to Have Fun,Cyndi Lauper,Pop,F,Beginner,1983
Come On Eileen,Dexys Midnight Runners,Pop,D,Beginner,1982
Take On Me,A-ha,Pop,A,Beginner,1985
Wake Me Up Before You Go Go,Wham,Pop,G,Beginner,1984
Careless Whisper,George Michael,Pop,Dm,Intermediate,1984
When Doves Cry,Prince,Pop,Am,Intermediate,1984
Sign of the Times,Harry Styles,Pop,F,Intermediate,2017
As It Was,Harry Styles,Pop,A,Beginner,2022
Levitating,Dua Lipa,Pop,Bm,Beginner,2020
Don't Start Now,Dua Lipa,Pop,F#m,Beginner,2019
Watermelon Sugar,Harry Styles,Pop,G,Beginner,2019
Anti-Hero,Taylor Swift,Pop,D,Beginner,2022
Flowers,Miley Cyrus,Pop,C,Beginner,2023
Unholy,Sam Smith,Pop,Am,Intermediate,2022
Bad Habits,Ed Sheeran,Pop,F#,Intermediate,2021
Peaches,Justin Bieber,Pop,E,Beginner,2021
Drivers License,Olivia Rodrigo,Pop,Db,Beginner,2021
Good 4 U,Olivia Rodrigo,Pop,G#m,Intermediate,2021
Heat Waves,Glass Animals,Indie,F#m,Beginner,2020
Running Up That Hill,Kate Bush,Pop,C,Intermediate,1985
Dont You Forget About Me,Simple Minds,Pop,G,Beginner,1985
Everybodys Changing,Keane,Indie,C,Beginner,2004
Somewhere Only We Know,Keane,Indie,A,Beginner,2004
This Is the Last Time,Keane,Indie,D,Beginner,2004
Dakota,Stereophonics,Indie,D,Beginner,2005
Have You Ever Seen the Rain,Creedence Clearwater Revival,Classic Rock,C,Beginner,1971
Lust for Life,Iggy Pop,Classic Rock,A,Intermediate,1977
Should I Stay or Should I Go,The Clash,Hard Rock,G,Beginner,1982
London Calling,The Clash,Hard Rock,Em,Intermediate,1979
Rock Around the Clock,Bill Haley,Classic Rock,C,Beginner,1954
