Title,Artist,Genre,Key,Difficulty,Year,Chords
Clocks,Coldplay,Indie,Eb,Intermediate,2002,Eb:Bb:Fm:Ab:Cm
Yellow,Coldplay,Indie,B,Beginner,2000,B:F#:Abm:E:C#m
The Scientist,Coldplay,Indie,F,Beginner,2002,Dm:Bb:F:C
Boulevard of Broken Dreams,Green Day,Indie,Fm,Intermediate,2004,Fm:Ab:Eb:Bb:Db:C
American Idiot,Green Day,Indie,Ab,Intermediate,2004,Ab:Db:Eb:Gb
Eye of the Tiger,Survivor,Hard Rock,Cm,Intermediate,1982,Cm:Bb:Ab:G
Carry On Wayward Son,Kansas,Classic Rock,Am,Advanced,1976,Am:G:F:C:D:Bb
More Than a Feeling,Boston,Classic Rock,D,Advanced,1976,D:Dsus4:C:G:Bm:Am:Em
Sweet Home Alabama,Lynyrd Skynyrd,Classic Rock,G,Beginner,1974,D:C:G
Sultans of Swing,Dire Straits,Classic Rock,Dm,Advanced,1978,Dm:C:Bb:A:F
Money for Nothing,Dire Straits,Classic Rock,Gm,Advanced,1985,Gm:Bb:C:F:Eb
Free Fallin,Tom Petty,Classic Rock,F,Beginner,1989,F:Bb:Fsus2:Csus2
Brown Eyed Girl,Van Morrison,Classic Rock,G,Beginner,1967,G:C:D:Em
Dont Stop Believin,Journey,Classic Rock,E,Intermediate,1981,E:B:C#m:A:G#m
Black Dog,Led Zeppelin,Classic Rock,A,Advanced,1971,A:D:E:G
Whole Lotta Love,Led Zeppelin,Classic Rock,E,Advanced,1969,E:D:A
Comfortably Numb,Pink Floyd,Classic Rock,Bm,Advanced,1979,Bm:A:G:Em:C:D:B
Wish You Were Here,Pink Floyd,Classic Rock,G,Beginner,1975,G:C:D:Am:Em
Another Brick in the Wall Part 2,Pink Floyd,Classic Rock,Dm,Intermediate,1979,Dm:G:Am:C
Paint It Black,The Rolling Stones,Classic Rock,Em,Intermediate,1966,Em:B7:G:D:Am:C
Gimme Shelter,The Rolling Stones,Classic Rock,C#m,Intermediate,1969,C#m:E:A:B
Sympathy for the Devil,The Rolling Stones,Classic Rock,E,Intermediate,1968,E:B:D:A
Space Oddity,David Bowie,Classic Rock,C,Intermediate,1969,C:Em:Am:F:Fm:G:E7
Heroes,David Bowie,Pop,D,Intermediate,1977,D:G:A:C:Bm:Em
Rhiannon,Fleetwood Mac,Classic Rock,Am,Intermediate,1975,Am:F:C:G:Dm:Em
The Chain,Fleetwood Mac,Classic Rock,Em,Advanced,1977,Em:Am:D:F:C:G:Bm
No Woman No Cry,Bob Marley,Pop,C,Beginner,1974,C:G:Am:F
Three Little Birds,Bob Marley,Pop,A,Beginner,1977,A:D:E
Hallelujah,Jeff Buckley,Indie,C,Intermediate,1994,C:Am:F:G:Em
Ho Hey,The Lumineers,Indie,C,Beginner,2012,C:F:Am:G
Let Her Go,Passenger,Indie,G,Beginner,2012,G:Dsus4:Em:C:D
Bad Moon Rising,Creedence Clearwater Revival,Classic Rock,D,Beginner,1969,D:A:G
Fortunate Son,Creedence Clearwater Revival,Classic Rock,G,Intermediate,1969,G:C:D:Em:A
Born to Run,Bruce Springsteen,Classic Rock,E,Intermediate,1975,E:A:B:C#m:G#m
The Boys Are Back in Town,Thin Lizzy,Hard Rock,A,Advanced,1976,A:D:G:E:F#m:Bm:C#m
Sharp Dressed Man,ZZ Top,Hard Rock,C,Intermediate,1983,C:Bb:F:G:Ab:Eb
La Grange,ZZ Top,Hard Rock,Am,Advanced,1973,Am:G:F:E
Message in a Bottle,The Police,Pop,C#m,Advanced,1979,C#m:A:B:F#m
Roxanne,The Police,Pop,Gm,Intermediate,1978,Gm:Dm:F:C:Bb:Eb:Cm
Under Pressure,Queen,Classic Rock,D,Intermediate,1981,D:G:A:Bm:F#m:Em
We Will Rock You,Queen,Classic Rock,Em,Beginner,1977,E:A:C:G
We Are the Champions,Queen,Classic Rock,Cm,Intermediate,1977,Cm:Fm:G:Bb:Eb:Ab
Time,Pink Floyd,Classic Rock,F#m,Advanced,1973,F#m:A:E:D:Bm:C#m:B
Money,Pink Floyd,Classic Rock,Bm,Advanced,1973,Bm:E7:A:D:G:C#m
The Final Countdown,Europe,Hard Rock,F#m,Intermediate,1986,F#m:D:E:A:B:C#m
Livin on a Prayer,Bon Jovi,Hard Rock,Em,Intermediate,1986,Em:C:D:G:A
Wanted Dead or Alive,Bon Jovi,Hard Rock,Dm,Intermediate,1986,Dm:C:Bb:F:Am:G
Knockin on Heavens Door,Bob Dylan,Classic Rock,G,Beginner,1973,G:D:Am:C
Layla,Eric Clapton,Classic Rock,Dm,Advanced,1970,Dm:Bb:C:F:G:E:Am
Tears in Heaven,Eric Clapton,Classic Rock,A,Intermediate,1992,A:E:F#m:C#m:D:G:Bm
Wonderful Tonight,Eric Clapton,Classic Rock,G,Beginner,1977,G:D:C:Em
Hotel Yorba,The White Stripes,Indie,E,Beginner,2001,E:A:B
Sex on Fire,Kings of Leon,Indie,E,Intermediate,2008,E:B:C#m:A:G#m
Radioactive,Imagine Dragons,Indie,Bm,Beginner,2012,Bm:G:D:A
Counting Stars,OneRepublic,Pop,C#m,Beginner,2013,C#m:A:E:B
Viva La Vida,Coldplay,Pop,Ab,Beginner,2008,Ab:Bb:Cm:Eb:Fm:Db
Skyfall,Adele,Pop,Cm,Intermediate,2012,Cm:Gm:Ab:Bb:Eb:Fm:G
Stayin Alive,Bee Gees,Pop,Fm,Intermediate,1977,Fm:Bb:Eb:Ab:Db:C
I Want It That Way,Backstreet Boys,Pop,F#m,Beginner,1999,F#m:A:E:D:B
Man in the Mirror,Michael Jackson,Pop,G,Intermediate,1988,G:Am:C:D:Em:Bm
Hysteria,Muse,Indie,Am,Advanced,2003,Am:G:F:E:Dm:C:Em:B
Plug In Baby,Muse,Indie,Em,Advanced,2001,Em:C:G:D:Am:B
Take It Easy,Eagles,Classic Rock,G,Beginner,1972,G:D:Am:C:Em
Desperado,Eagles,Classic Rock,G,Intermediate,1973,G:D:Em:Am:C:B7
The Joker,Steve Miller Band,Classic Rock,G,Beginner,1973,G:C:D
Long Train Runnin,The Doobie Brothers,Classic Rock,Gm,Intermediate,1973,Gm:C:F:Bb:Eb:D
China Grove,The Doobie Brothers,Classic Rock,G,Intermediate,1973,G:C:D:Em:A
Barracuda,Heart,Hard Rock,Em,Advanced,1977,Em:D:C:B:A:G
Crazy Little Thing Called Love,Queen,Classic Rock,D,Beginner,1979,D:G:C:E:A:Bb:F
Owner of a Lonely Heart,Yes,Classic Rock,Am,Intermediate,1983,Am:C:G:D:Bm:Em:F
Roundabout,Yes,Classic Rock,Em,Advanced,1971,Em:A:C:D:Bm:G:F#:B
Smoke on the Water,Deep Purple,Hard Rock,Gm,Beginner,1972,Gm:Bb:Db:C:Eb
Highway Star,Deep Purple,Hard Rock,Gm,Advanced,1972,Gm:F:Bb:Eb:D:Cm:Ab
The Sound of Silence,Simon and Garfunkel,Pop,Em,Beginner,1964,Em:D:C:G:Am
Mrs Robinson,Simon and Garfunkel,Pop,E,Beginner,1968,E:A:Am:B7:C:G:Em
Bridge Over Troubled Water,Simon and Garfunkel,Pop,Eb,Intermediate,1970,Eb:Bb:Ab:Fm:Db:Cm:G
Good Riddance Time of Your Life,Green Day,Indie,G,Beginner,1997,G:Cadd9:D:Em
Zombie,The Cranberries,Indie,Em,Intermediate,1994,Em:C:G:D
Losing My Religion,REM,Indie,Dm,Intermediate,1991,Dm:F:Am:C:G:Em
Drive,Incubus,Indie,E,Beginner,2000,E:B:C#m:A
All the Small Things,Blink 182,Pop,C,Beginner,1999,C:G:F:Bb
Iris,Goo Goo Dolls,Pop,B,Intermediate,1998,B:E:F#:G#m:A
Yesterday,The Beatles,Classic Rock,F,Beginner,1965,F:Em:Am:D:Bb:C:Dm:G
Shallow,Lady Gaga,Pop,G,Intermediate,2018,Em:D:G:A:C:Bm
Someone Like You,Adele,Pop,A,Beginner,2011,A:E:F#m:D
Thinking Out Loud,Ed Sheeran,Pop,D,Beginner,2014,D:G:A:Bm:Em
Perfect,Ed Sheeran,Pop,Ab,Beginner,2017,Ab:Bbm:Db:Eb:Fm:Gb
Stay With Me,Sam Smith,Pop,C,Beginner,2014,C:Am:F:G
Chandelier,Sia,Pop,Am,Intermediate,2014,Am:G:F:C:Em:Dm
Uptown Funk,Bruno Mars,R&B,Dm,Intermediate,2014,Dm:G:Bb:A:C:F
Just the Way You Are,Bruno Mars,Pop,F,Beginner,2010,F:Dm:Bb:C:Am:Gm
Locked Out of Heaven,Bruno Mars,Pop,Bm,Intermediate,2012,Bm:D:G:A:E:F#m
Happy,Pharrell Williams,Pop,F,Beginner,2013,F:Bb:C:Dm:Am:Gm
Get Lucky,Daft Punk,Pop,F#m,Intermediate,2013,F#m:A:Bm:D:E
Pompeii,Bastille,Indie,Eb,Beginner,2013,Eb:Bb:Gm:Cm:Ab:Fm
Little Talks,Of Monsters and Men,Indie,F,Beginner,2011,F:C:Am:Bb:Dm:Gm
Take Me to Church,Hozier,Indie,Am,Intermediate,2013,Am:F:C:G:Em:Dm:E
Budapest,George Ezra,Pop,C,Beginner,2014,C:F:G:Am:Em:Dm
Riptide,Vance Joy,Indie,C,Beginner,2013,Am:G:C:F
Human,The Killers,Indie,A,Beginner,2008,A:D:E:F#m:Bm:G
Somebody That I Used to Know,Gotye,Indie,Dm,Intermediate,2011,Dm:Bb:F:C:Am:Gm
Demons,Imagine Dragons,Indie,C,Beginner,2013,C:Am:F:G:Em:Dm
Thunder,Imagine Dragons,Indie,F#m,Beginner,2017,F#m:A:D:B:E:C#m
Believer,Imagine Dragons,Indie,Cm,Intermediate,2017,Cm:Bb:Ab:Eb:Fm:G
Stressed Out,Twenty One Pilots,Indie,D,Beginner,2015,D:G:A:Bm:F#m:Em:C
Heathens,Twenty One Pilots,Indie,Fm,Intermediate,2016,Fm:Db:Ab:Eb:Bb:Cm:Gb
Time After Time,Cyndi Lauper,Pop,C,Beginner,1984,C:G:Am:F:Em:Dm
Girls Just Want to Have Fun,Cyndi Lauper,Pop,F,Beginner,1983,F:Bb:C:Dm:Gm:Am
Come On Eileen,Dexys Midnight Runners,Pop,D,Beginner,1982,D:G:A:Bm:F#m:Em:C
Take On Me,A-ha,Pop,A,Beginner,1985,A:D:F#m:E:B:G
Wake Me Up Before You Go Go,Wham,Pop,G,Beginner,1984,G:C:D:Em:Am
Careless Whisper,George Michael,Pop,Dm,Intermediate,1984,Dm:Gm:Bb:C:Am:F:A
When Doves Cry,Prince,Pop,Am,Intermediate,1984,Am:Em:F:C:G:Dm
Sign of the Times,Harry Styles,Pop,F,Intermediate,2017,F:Bb:Am:Gm:C:Dm:Eb
As It Was,Harry Styles,Pop,A,Beginner,2022,A:F#m:D:E:Bm:G
Levitating,Dua Lipa,Pop,Bm,Beginner,2020,Bm:G:D:A:F#m:Em
Dont Start Now,Dua Lipa,Pop,F#m,Beginner,2019,F#m:Bm:E:A:D:C#m
Watermelon Sugar,Harry Styles,Pop,G,Beginner,2019,G:Am:C:D:Em:Bm
Anti-Hero,Taylor Swift,Pop,D,Beginner,2022,D:Bm:G:A:F#m:Em:C
Flowers,Miley Cyrus,Pop,C,Beginner,2023,C:Am:F:G:Dm:Em
Unholy,Sam Smith,Pop,Am,Intermediate,2022,Am:Dm:G:C:F:Em:E
Bad Habits,Ed Sheeran,Pop,F#,Intermediate,2021,F#:B:C#m:A:D:G#m:E
Peaches,Justin Bieber,Pop,E,Beginner,2021,E:A:B:C#m:G#m
Drivers License,Olivia Rodrigo,Pop,Db,Beginner,2021,Db:Ab:Bbm:Gb:Fm:Ebm
Good 4 U,Olivia Rodrigo,Pop,G#m,Intermediate,2021,G#m:C#m:E:B:F#:D#m:A
Heat Waves,Glass Animals,Indie,F#m,Beginner,2020,F#m:Bm:A:E:D:G#m:C#m
Running Up That Hill,Kate Bush,Pop,C,Intermediate,1985,C:Am:F:G:Em:Dm:Bb
Dont You Forget About Me,Simple Minds,Pop,G,Beginner,1985,G:Am:C:D:Em:Bm
Everybodys Changing,Keane,Indie,C,Beginner,2004,C:Am:F:G:Em:Dm
Somewhere Only We Know,Keane,Indie,A,Beginner,2004,A:E:F#m:D:Bm:G
This Is the Last Time,Keane,Indie,D,Beginner,2004,D:A:Bm:G:F#m:Em
Dakota,Stereophonics,Indie,D,Beginner,2005,D:A:Bm:G:Em:C
Have You Ever Seen the Rain,Creedence Clearwater Revival,Classic Rock,C,Beginner,1971,C:G:Am:F:Em:Dm
Lust for Life,Iggy Pop,Classic Rock,A,Intermediate,1977,A:D:E:G:Bm:F#m
Should I Stay or Should I Go,The Clash,Hard Rock,G,Beginner,1982,G:C:D:F
London Calling,The Clash,Hard Rock,Em,Intermediate,1979,Em:A:D:G:C:B
Rock Around the Clock,Bill Haley,Classic Rock,C,Beginner,1954,C:F:G7:C7
